concept,category,description
football,sport,"a team sport played with a ball where players score goals"
basketball,sport,"a team sport where players throw a ball through a hoop"
tennis,sport,"a racket sport played by hitting a ball over a net"
cricket,sport,"a bat and ball sport involving wickets runs and fielding"
swimming,sport,"a water sport where athletes move through a pool using strokes"
running,sport,"an athletic activity focused on speed endurance and races"
volleyball,sport,"a team sport where players hit a ball over a high net"
boxing,sport,"a combat sport involving punches rounds and opponents"
cycling,sport,"a sport involving bicycles races roads and endurance"
hockey,sport,"a team sport using sticks to move a puck or ball and score goals"
pizza,food,"an Italian food with dough cheese tomato sauce and toppings"
pasta,food,"an Italian food made from wheat served with sauces"
burger,food,"a fast food sandwich with bread meat cheese and vegetables"
rice,food,"a staple grain commonly eaten with curries vegetables or meat"
chocolate,food,"a sweet food made from cocoa often used in desserts"
salad,food,"a dish made with vegetables greens and dressing"
soup,food,"a liquid food cooked with vegetables meat or lentils"
bread,food,"a baked food made from flour water and yeast"
cheese,food,"a dairy food made from milk often used in meals"
coffee,food,"a hot drink made from roasted beans and caffeine"
doctor,profession,"a medical professional who diagnoses and treats patients"
teacher,profession,"a professional who educates students and explains subjects"
engineer,profession,"a professional who designs builds and solves technical problems"
lawyer,profession,"a legal professional who advises clients and works with law"
chef,profession,"a professional cook who prepares food in kitchens and restaurants"
architect,profession,"a professional who designs buildings structures and spaces"
nurse,profession,"a healthcare professional who supports doctors and cares for patients"
journalist,profession,"a professional who writes reports and investigates news stories"
programmer,profession,"a technology professional who writes code and builds software"
accountant,profession,"a professional who manages financial records budgets and taxes"
happiness,emotion,"a positive emotional state involving joy satisfaction and pleasure"
sadness,emotion,"a negative emotional state involving sorrow loss and unhappiness"
anger,emotion,"a strong emotion involving irritation conflict and frustration"
fear,emotion,"an emotion caused by danger threat uncertainty or risk"
surprise,emotion,"an emotion caused by unexpected events or new information"
disgust,emotion,"an emotion of dislike caused by unpleasant things or situations"
love,emotion,"a strong positive feeling of affection attachment and care"
pride,emotion,"a feeling of satisfaction from achievement identity or success"
anxiety,emotion,"a worried emotional state involving stress tension and uncertainty"
excitement,emotion,"an energetic emotional state involving enthusiasm and anticipation"
computer,technology,"an electronic device used for processing information and running software"
smartphone,technology,"a mobile device used for communication apps internet and media"
robot,technology,"a machine designed to perform tasks automatically or with intelligence"
internet,technology,"a global network connecting computers websites and digital services"
algorithm,technology,"a step by step computational procedure used to solve problems"
database,technology,"a structured collection of data stored and queried by software"
software,technology,"programs and applications that run on computers and devices"
sensor,technology,"a device that detects physical signals and sends measurements"
network,technology,"a system of connected devices that exchange data and information"
cloud,technology,"remote computing infrastructure for storing and processing data online"
